Date,Time,Colombo,Hanwella,Glencourse,Holombuwa,Deraniyagala,Kithulagala,Norwood
2016.05.01,1:00:00 AM,0,0,0,0,0,0,0
,2:00:00 AM,0,0,0,0,0,0,0
,3:00:00 AM,0,0,0,0,0,0,0
,4:00:00 AM,0,0,0,0,0,0,0
,5:00:00 AM,0,0,0,0,0,0,0
,6:00:00 AM,0,0,0,0,0,0,0
,7:00:00 AM,0,0,0,0,0,0,0
,8:00:00 AM,0,0,0,0,0,0,0
,9:00:00 AM,0,0,0,0,0,0,0
,10:00:00 AM,2,0,0,0,0,0,0
,11:00:00 AM,0.1,0,0,0,0,0,0
,12:00:00 PM,0,0,0,0,0,0,0
,1:00:00 PM,0,0,0,0,0,0,0
,2:00:00 PM,0,0,0,0,0,0,24.2
,3:00:00 PM,0,0,0,0,0,0,2.3
,4:00:00 PM,0,0,0,0,0,17,0.8
,5:00:00 PM,0,3.5,20.4,0,0,9.1,10.9
,6:00:00 PM,0,3.1,5,19.9,29.9,3.3,1.3
,7:00:00 PM,0,0,0,0,0,0,1.5
,8:00:00 PM,0,0,0,0,0,0,0.5
,9:00:00 PM,0,0,0,0,0,0,0
,10:00:00 PM,0,0,0,0,0,0,0
,11:00:00 PM,0,0,0,0,0,0,0
,12:00:00 AM,0,0,0,0,0,0,0
2016.05.02,1:00:00 AM,0,0,0,0,0,0,0
,2:00:00 AM,0,0,0,0,0,0,0
,3:00:00 AM,0,0,0,0,0,0,0
,4:00:00 AM,0,0,0,0,0,0,0
,5:00:00 AM,0,0,0,0,0,0,0
,6:00:00 AM,0,0,0,0,0,0,0
,7:00:00 AM,0,0,0,0,0,0,0
,8:00:00 AM,0,0,0,0,0,0,0
,9:00:00 AM,0,0,0,0,0,0,0
,10:00:00 AM,0,0,0,0,0,0,0
,11:00:00 AM,0,0,0,0,0,0,0
,12:00:00 PM,0,0,0,0,0,0,0
,1:00:00 PM,0,0,0,0,0,0,0
,2:00:00 PM,0,0,0,0,0,0,0
,3:00:00 PM,0,0,0,0,0,0,0.7
,4:00:00 PM,0,0,0,0,2.5,0,3.4
,5:00:00 PM,0,0,0,0,2.4,28.6,7.1
,6:00:00 PM,0,0,13.4,0,1.4,4.9,1.6
,7:00:00 PM,0,0,0.6,9,0,0,1.2
,8:00:00 PM,0,0,0,0,0,0,0
,9:00:00 PM,0,0,0,0,0,0,0
,10:00:00 PM,0,0,0,0,0,0,0
,11:00:00 PM,0,0,0,0,0,0,0
,12:00:00 AM,0,0,0,0,0,0,0
2016.05.03,1:00:00 AM,0,0,0,0,0,0,0
,2:00:00 AM,0,0,0,0,0,0,0
,3:00:00 AM,0,0,0,0,0,0,0
,4:00:00 AM,0,0,0,0,0,0,0
,5:00:00 AM,0,0,0,0,0,0,0
,6:00:00 AM,0,0,0,0,0,0,0
,7:00:00 AM,0,0,0,0,0,0,0
,8:00:00 AM,0,0,0,0,0,0,0
,9:00:00 AM,0,0,0,0,0,0,0
,10:00:00 AM,23.8,0,0,0,0,0,0
,11:00:00 AM,1.9,0,0,0,0,0,0
,12:00:00 PM,0,0,0,0,0,0,0
,1:00:00 PM,0,0,0,0,0,0,0
,2:00:00 PM,0,0,0,0,0,0,26.7
,3:00:00 PM,0,0,0,0,0,0,4.6
,4:00:00 PM,0,0,0,0,0,0,2.3
,5:00:00 PM,0,0,0,0,34.2,35.8,0
,6:00:00 PM,0,3.3,0,23.5,11.1,4.4,0
,7:00:00 PM,0,0,0,0.8,0,0,0
,8:00:00 PM,0,0,0,0,0,0,0
,9:00:00 PM,0,0,0,0,0,0,0
