1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.97,2.11,2.2,2.24,2.27,2.3,2.28,2.26,2.22,2.16,2.11,2.07,2.02,1.97,1.89,1.81,1.77,1.72,1.68,1.68,1.87,2.04,2.66,2.91
3.04,3.21,3.34,3.41,3.33,3.26,3.18,3.06,2.93,2.84,2.72,2.59,2.5,2.39,2.3,2.2,2.13,2.05,2,1.95,1.88,1.86,1.84,1.96
2.02,2.1,2.21,2.27,2.32,2.36,2.35,2.32,2.28,2.23,2.17,2.11,2.04,1.99,1.94,1.82,1.78,1.72,1.68,1.64,1.6,1.58,1.61,1.65
1.71,1.83,1.96,1.99,2.02,2.05,2.07,2.04,2.02,1.98,1.94,1.89,1.82,1.76,1.7,1.66,1.62,1.6,1.59,1.57,1.55,1.52,1.57,1.63
1.67,1.7,1.72,1.73,1.71,1.7,1.69,1.68,1.64,1.6,1.56,1.54,1.5,1.48,1.42,1.38,1.38,1.37,1.36,1.35,1.34,1.41,1.55,1.74
1.92,2,2.08,2.15,2.22,2.26,2.21,2.19,2.13,2.09,2.03,1.98,1.94,1.89,1.84,1.79,1.78,1.72,1.68,1.63,1.6,1.58,1.6,1.62
1.75,1.91,2.12,2.35,2.51,2.66,2.67,2.64,2.6,2.54,2.49,2.41,2.35,2.27,2.18,2.1,2,1.95,1.91,1.9,1.87,1.85,1.83,1.78
1.76,1.75,1.74,1.75,1.77,1.78,1.79,1.79,1.78,1.76,1.72,1.67,1.62,1.59,1.56,1.53,1.53,1.55,1.7,1.9,2.07,2.26,2.5,2.71
2.84,2.96,3.05,3.12,3.2,3.25,3.24,3.18,3.1,3,2.9,2.83,2.73,2.65,2.58,2.52,2.5,2.58,2.72,2.96,3.21,3.34,3.48,3.6
3.63,3.68,3.66,3.61,3.56,3.52,3.44,3.37,3.28,3.19,3.08,2.94,2.85,2.79,2.69,2.66,2.58,2.53,2.54,2.52,2.57,2.84,3.17,3.4
3.53,3.67,3.8,3.83,3.81,3.78,3.73,3.65,3.55,3.48,3.38,3.28,3.22,3.14,3.06,2.93,2.89,2.84,2.8,2.8,2.9,3.17,3.6,4
4.35,4.73,5.02,5.15,5.2,5.22,5.22,5.18,5.13,5.06,5,4.9,4.8,4.7,4.59,4.5,4.48,4.31,4.28,4.3,4.38,4.48,4.55,4.64
4.61,4.56,4.41,4.29,4.17,4.06,4,3.88,3.83,3.75,3.66,3.58,3.5,3.43,3.37,3.32,3.28,3.25,3.52,4,4.7,5.1,5.47,5.72
5.85,5.98,6.05,6.08,6.04,5.98,5.92,5.79,5.65,5.49,5.36,5.16,5,4.88,4.72,4.52,4.39,4.25,4.12,4.03,3.94,3.83,3.72,3.62
3.53,3.45,3.38,3.34,3.3,3.24,3.19,3.14,3.12,3.1,3.1,3.12,3.16,3.3,3.52,3.78,4.1,4.49,4.95,5.34,5.74,6.12,6.58,6.92
7.35,7.6,7.9,8.08,8.33,8.5,8.63,8.73,8.83,8.89,8.96,9.05,9.13,9.19,9.24,9.32,9.36,9.4,9.45,9.48,9.52,9.55,9.56,9.6
9.64,9.66,9.66,9.68,9.72,9.75,9.77,9.78,9.8,9.81,9.83,9.84,9.85,9.87,9.88,9.89,9.91,9.93,9.94,9.94,9.96,9.98,9.98,9.98
9.98,10,10,10.01,10.02,10.02,10.02,10.02,10.02,10.03,10.03,10.03,10.03,10.03,10.03,10.02,10.01,9.96,9.94,9.9,9.89,9.84,9.82,9.78
9.75,9.71,9.66,9.6,9.52,9.46,9.4,9.32,9.25,9.16,9.1,9.02,8.96,8.9,8.86,8.8,8.76,8.74,8.72,8.77,8.79,8.81,8.86,8.9
8.96,9,9.01,9.01,9.04,9.1,9.13,9.15,9.16,9.16,9.17,9.17,9.17,9.17,9.16,9.14,9.09,9.07,9.04,9.01,8.97,8.91,8.87,8.82
8.76,8.72,8.64,8.54,8.49,8.43,8.36,8.29,8.2,8.14,8.06,8,7.96,7.9,7.86,7.8,7.79,7.78,7.75,7.73,7.7,7.65,7.6,7.55
7.49,7.44,7.37,7.3,7.23,7.17,7.1,7.02,6.96,6.87,6.82,6.75,6.67,6.6,6.52,6.46,6.4,6.33,6.26,6.2,6.13,6.07,6,5.95
5.9,5.83,5.75,5.69,5.61,5.55,5.5,5.45,5.36,5.28,5.24,5.17,5.13,5.08,5.04,5.01,4.99,4.98,4.97,4.96,4.94,4.9,4.87,4.82
4.8,4.75,4.7,4.67,4.63,4.6,4.58,4.55,4.52,4.48,4.45,4.41,4.38,4.35,4.32,4.3,4.28,4.3,4.3,4.28,4.26,4.24,4.21,4.17
4.15,4.14,4.13,4.13,4.13,4.13,4.14,4.18,4.19,4.2,4.24,4.28,4.32,4.36,4.38,4.4,4.42,4.4,4.38,4.37,4.36,4.36,4.36,4.37
4.38,4.39,4.4,4.41,4.43,4.45,4.42,4.37,4.31,4.3,4.2,4.12,4.08,4.02,3.96,3.9,3.86,3.82,3.77,3.74,3.7,3.67,3.63,3.6
3.58,3.55,3.52,3.49,3.46,3.43,3.4,3.4,3.39,3.38,3.42,3.5,3.66,3.84,4,4.2,4.45,4.75,4.95,5.12,5.26,5.4,5.5,5.59
5.63,5.67,5.72,5.77,5.82,5.87,5.9,5.94,5.96,5.99,6.02,6.06,6.1,6.16,6.22,6.28,6.29,6.33,6.28,6.26,6.22,6.16,6.1,6.02
5.96,5.9,5.81,5.72,5.62,5.55,5.47,5.4,5.36,5.28,5.2,5.12,5.05,5,4.98,4.9,4.88,4.83,4.75,4.68,4.64,4.6,4.56,4.52
4.48,4.45,4.42,4.39,4.36,4.34,4.28,4.26,4.24,4.2,4.17,4.13,4.1,4.08,4.05,4.03,4.02,4.01,4.01,4.05,4.07,4.15,4.26,4.35
4.42,4.48,4.52,4.56,4.53,4.49,4.49,4.48,4.48,4.47,4.45,4.44,4.41,4.41,4.38,4.38,4.38,4.38,4.4,4.45,4.48,4.49,4.5,4.51
